bhk,price,price_fmt,locality,developer,project,area_sqft,possession,nearest_railway,nearest_hospital,nearest_market,city
3,65000000,6.50 Cr,Bandra East,Rustomjee,Bandra East is available for purchase at price of ₹6,1100.0,ready to move,Bandra-Kurla Complex Metro Station|5 minutes,Guru Nanak Hospital,Meena Bazar,Mumbai
3,30500000,3.05 Cr,Sunder Nagar Malad West,Triumph Builders LLP,Triumph Towers which is a 8 years old construction,1144.0,ready to move,Sunder Nagar Auto Stand,,,Mumbai
2,20000000,2 Cr,Shimpoli Road,Paradigm Realty & Dotom Realty,Shimpoli Road is available for purchase at price of ₹2 Cr,668.0,ready to move,,,,Mumbai
3,125000000,12.50 Cr,Worli,Omkar Realtors and Developers Pvt. Ltd.,,,ready to move,Worli Metro Station|5 minutes,Shobha Hospital,Atria Mall,Mumbai
1,8500000,85 Lac,Industrial Area Bhandup West,DP Build Homes,,,ready to move,,,,Mumbai
2,26000000,2.60 Cr,Andheri East,Dynamix Group,,625.0,ready to move,"Andheri metro station, Mumbai|5 minutes",Holy Spirit Hospital,Akruti One World Mall,Mumbai
1,14200000,1.42 Cr,Malad West,K PATEL REALTY,,450.0,ready to move,Malad West Metro Station|5 minutes,Adarsh Hospital,"Mothercare, Infiniti Mall",Mumbai
3,32500000,3.25 Cr,Andheri West,Pattathu Brothers,a well-connected area of Andheri West,800.0,ready to move,"Azad Nagar metro station, Mumbai|5 minutes",Kulkarni Hospital,Infiniti Mall,Mumbai
2,18500000,1.85 Cr,Vikhroli West,Mayfair Housing,,621.0,ready to move,Vikhroli Station Road (W) Bus Stop,PRK Hospital,R City Mall,Mumbai
3,16500000,1.65 Cr,Mira Road,Leena Group,a well-connected area of Mira Road,,ready to move,Mira Road Railway Station,Manihar Hospital,"D Mart, Hatkesh Udhog Nagar",Mumbai
1,16500000,1.65 Cr,Jogeshwari West,Sagar Builders,,,ready to move,Lower Oshiwara Metro Station|5 minutes,Wellspring Hospital,Mega Mall,Mumbai
2,18500000,1.85 Cr,Jankalyan Nagar,Gurukrupa Group,Jankalyan Nagar,636.0,ready to move,Gtb Nagar Monorail Station,,Phoenix Marketcity Mall,Mumbai
2,22300000,2.23 Cr,Kanjurmarg West,Runwal Group,,771.0,ready to move,Kanjur Marg Station (W) Bus Stop,,,Mumbai
2,14000000,1.40 Cr,Kandivali Village,Gada Group,,650.0,ready to move,"Azad Nagar metro station, Mumbai|5 minutes",Nobel Hospital,Ceramic Mall,Mumbai
3,27500000,2.75 Cr,Goregaon East,Lalani Group,,,ready to move,Aarey Metro Station|5 minutes,Hira Surgical,Orchard Road Mall,Mumbai
1,20400000,2.04 Cr,Powai,Hiranandani Developers,,,ready to move,Jama Masjid Bus Stop,Powai Hospital,DMart,Mumbai
2,22000000,2.20 Cr,Wadala East,Cooperative Group Housing Society,,720.0,ready to move,Wadala Bridge Monorail Station,,,Mumbai
3,24000000,2.40 Cr,Goregaon West,Stone Craft Infra,,768.0,ready to move,Lower Malad Metro Station,Matoshree Gomanti Hospital,Vijay Sales,Mumbai
1,3000000,30 Lac,Virar East,Cooperative Group Housing Society,,585.0,ready to move,Railway Station,Rani Shankar Hospital,Om Arcade,Mumbai
2,16500000,1.65 Cr,Mira Road East,Space Realty,,639.0,Dec '27,Mirabhayander Road Bus Stop,Hadsekar Hospital,PVR Cinemas,Mumbai
2,32500000,3.25 Cr,948 sqft,Omkar Realtors and Developers Pvt. Ltd.,Omkar Alta Monte which is a 9 years old construction,,ready to move,Malad Railway Station (E) Bus Stop,S.K. Patil Mahanagarpalika General Hospital,Eastern Mall,Mumbai
1,12500000,1.25 Cr,Goregaon West,Chandak Group,,391.0,ready to move,Lower Malad Metro Station|5 minutes,Parvatibhai Chavan,Vijay Sales,Mumbai
2,35000000,3.50 Cr,Vikhroli East,Godrej Properties,,765.0,ready to move,Vikhroli Police Station Bus Stop,Adi Arogyam Hospital,,Mumbai
